GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG-READ-DESC,MAT-PROG-READ-SCORE,MAT-PROG-READ-CI-LOWER,MAT-PROG-READ-CI-UPPER,MAT-DIS-PROG-READ-DESC,MAT-DIS-PROG-READ-SCORE,MAT-DIS-PROG-READ-CI-LOWER,MAT-DIS-PROG-READ-CI-UPPER,MAT-PROG-WRITE-DESC,MAT-PROG-WRITE-SCORE,MAT-PROG-WRITE-CI-LOWER,MAT-PROG-WRITE-CI-UPPER,MAT-DIS-PROG-WRITE-DESC,MAT-DIS-PROG-WRITE-SCORE,MAT-DIS-PROG-WRITE-CI-LOWER,MAT-DIS-PROG-WRITE-CI-UPPER,MAT-PROG-MATH-DESC,MAT-PROG-MATH-SCORE,MAT-PROG-MATH-CI-LOWER,MAT-PROG-MATH-CI-UPPER,MAT-DIS-PROG-MATH-DESC,MAT-DIS-PROG-MATH-SCORE,MAT-DIS-PROG-MATH-CI-LOWER,MAT-DIS-PROG-MATH-CI-UPPER,SCHOOL-URNS
SP00003,2054,School sponsor,Academies Enterprise Trust (AET),National Lead,32,1327,15.4,49.8,2.3,35.8,32,7,25,0,0,0,0,15,17,Significantly below average,-0.6,-1,-0.3,Close to average,-0.7,-1.2,-0.2,Significantly above average,0.9,0.6,1.3,Significantly above average,1,0.5,1.5,Significantly above average,0.7,0.4,1,Significantly above average,0.6,0.1,1,137378;137381;137405;138072;138074;138117;138369;138410;138440;138588;138589;138674;138677;138678;138679;138782;138786;138854;138864;138867;138973;138982;139003;139004;139005;139006;139131;139132;139207;139476;139868;139885
TR00015,2062,Multi-academy trust,Academy Transformation Trust,East of England and North East London,8,289,14.8,41.5,1.4,23.9,8,1,7,0,0,0,0,6,2,Significantly below average,-2,-2.7,-1.3,Close to average,-1.5,-2.7,-0.3,Significantly below average,-1.3,-2,-0.5,Close to average,-0.8,-1.9,0.4,Significantly below average,-2.6,-3.3,-2,Significantly below average,-2.1,-3.2,-0.9,138419;138540;138919;138996;139058;139226;139575;139641
TR00024,2075,Multi-academy trust,The Active Learning Trust Limited,East of England and North East London,8,452,14.9,37.4,2.9,9.5,8,1,7,0,0,0,5,3,0,Significantly below average,-1,-1.5,-0.4,Close to average,-1.4,-2.5,-0.4,Close to average,0.2,-0.4,0.7,Close to average,-0.5,-1.5,0.5,Significantly below average,-0.6,-1.1,0,Close to average,-0.9,-1.8,0.1,139803;139804;139843;140573;140822;140823;140887;140888
TR02658,2081,Multi-academy trust,Adventure Learning Academy Trust,South West,3,87,16,29.9,2.3,0,3,0,3,0,0,0,3,0,0,Close to average,-0.8,-2.1,0.5,Close to average,-1.7,-4.3,0.8,Close to average,0.3,-1,1.5,Close to average,0.3,-2.2,2.8,Significantly below average,-1.9,-3.1,-0.7,Close to average,-1.1,-3.5,1.2,140837;140838;140839
TR00081,2157,Multi-academy trust,ARK Schools,National Lead,14,701,15.4,55.8,2.4,48.4,14,1,13,0,0,0,3,4,7,Close to average,-0.1,-0.6,0.3,Close to average,-0.5,-1.2,0.2,Close to average,0.3,-0.1,0.8,Close to average,-0.2,-0.9,0.4,Significantly above average,1,0.6,1.5,Significantly above average,0.2,-0.4,0.8,135242;135584;135600;137114;138371;138397;138680;139645;139713;139820;139830;141020;141021;141022
SP00192,2184,School sponsor,Askel Veur - Diocese of Truro,South West,5,71,14.8,42.3,0,5.6,5,1,4,0,0,0,5,0,0,Significantly below average,-2.1,-3.5,-0.6,Close to average,-2.8,-5.2,-0.3,Close to average,-0.8,-2.2,0.6,Close to average,-2.3,-4.6,0.1,Significantly below average,-4.3,-5.6,-3,Significantly below average,-4.7,-6.9,-2.5,140232;140334;140342;140347;140477;139089;139090;139091;139092;139093;140466;140467;140468;140469
TR00103,2186,Multi-academy trust,Aspirations Academies Trust,North West London and South Central,4,265,17,37.4,0.8,42.3,4,2,2,0,0,0,2,1,1,Significantly below average,-0.9,-1.7,-0.1,Close to average,-1.2,-2.5,0.2,Close to average,0.8,0,1.5,Close to average,0.3,-1,1.6,Close to average,0.3,-0.4,1,Close to average,0.1,-1.1,1.3,138501;139298;140158;140718
TR02430,2189,Multi-academy trust,Aspire Academies Trust,North West London and South Central,3,174,15,27,1.7,17.2,3,2,1,0,0,0,0,0,3,Close to average,0.7,-0.2,1.7,Close to average,-1,-2.9,0.9,Significantly above average,1.3,0.4,2.2,Close to average,0.8,-1,2.7,Significantly above average,1.2,0.3,2,Close to average,-1,-2.7,0.8,136857;137238;138507
TR00579,2192,Multi-academy trust,ASPIRE Academy Trust,South West,8,204,16.3,21.1,0.5,2.9,8,7,1,0,0,0,3,4,1,Significantly above average,1.5,0.6,2.4,Close to average,0.5,-1.5,2.5,Significantly above average,1.4,0.5,2.2,Close to average,1.3,-0.7,3.3,Close to average,0.6,-0.1,1.4,Close to average,-0.1,-2,1.7,136318;136597;137076;137183;138963;140318;140897;141283
TR00111,2206,Multi-academy trust,Aurora Academies Trust,South East and South London,4,219,14.4,49.3,0.5,10.5,4,0,4,0,0,0,0,0,4,Close to average,-0.1,-0.9,0.7,Close to average,-0.7,-2,0.6,Close to average,-0.1,-0.9,0.7,Close to average,-0.2,-1.5,1,Close to average,0,-0.7,0.8,Close to average,-0.1,-1.3,1.1,138390;138391;138392;138400
TR00139,3072,Multi-academy trust,Eynsham Partnership Academy,North West London and South Central,6,128,17,14.8,1.6,2.3,6,5,1,0,0,0,6,0,0,Close to average,0.6,-0.5,1.7,Close to average,1.4,-1.7,4.6,Close to average,0.5,-0.6,1.5,Close to average,0.7,-2.4,3.8,Close to average,-0.4,-1.4,0.6,Close to average,-2.3,-5.2,0.6,140827;140871;140915;140916;140983;141053
SP00042,2283,School sponsor,Belgrave St Bartholomew's Academy,West Midlands,3,133,14.5,48.1,0.8,21.8,3,0,3,0,0,0,3,0,0,Close to average,-0.7,-1.8,0.4,Close to average,-1.7,-3.3,0,Close to average,0.6,-0.4,1.7,Close to average,-0.4,-2,1.2,Close to average,0.4,-0.6,1.4,Close to average,-0.9,-2.4,0.6,139910;140175;140562
TR00214,2332,Multi-academy trust,The Bishop Konstant Catholic Academy Trust,Lancashire and West Yorkshire,7,170,16.4,14.7,2.4,5.9,7,6,1,0,0,0,1,6,0,Significantly above average,1.5,0.5,2.4,Close to average,0.8,-1.8,3.5,Close to average,0.4,-0.5,1.3,Close to average,-0.4,-3,2.2,Close to average,0.3,-0.6,1.1,Close to average,0.5,-1.9,3,138941;138945;138946;138947;138949;138958;140558
TR00231,2348,Multi-academy trust,Blackbird Academy Trust,North West London and South Central,3,142,14.3,59.2,3.5,29.6,3,1,2,0,0,0,0,3,0,Close to average,-0.8,-1.8,0.3,Close to average,-0.6,-2.1,0.8,Close to average,0.9,-0.1,1.9,Close to average,1.1,-0.3,2.5,Significantly below average,-2,-2.9,-1,Significantly below average,-1.9,-3.3,-0.6,139256;139257;139985
TR00233,2350,Multi-academy trust,Blackpool Multi Academy Trust,Lancashire and West Yorkshire,3,202,14.5,52,1.5,6.4,3,2,1,0,0,0,1,2,0,Close to average,-0.8,-1.7,0.1,Close to average,-0.2,-1.5,1,Close to average,-0.5,-1.3,0.3,Close to average,-0.3,-1.6,1,Close to average,0.4,-0.4,1.2,Close to average,0.1,-1,1.3,140124;140128;140673
TR02682,2351,Multi-academy trust,Blandford Education Trust,South West,3,100,15.9,32,3,1,3,3,0,0,0,0,3,0,0,Significantly above average,3.2,2,4.4,Significantly above average,3.3,0.9,5.6,Close to average,1.1,-0.1,2.3,Close to average,0.3,-2,2.6,Significantly above average,2,0.9,3.1,Significantly above average,3.3,1.2,5.5,141043;141046;141061
TR00263,2386,Multi-academy trust,Bourne Education Trust,South East and South London,3,97,14,38.1,9.3,24.7,3,1,2,0,0,0,3,0,0,Significantly above average,2.8,1.5,4.1,Significantly above average,4.9,2.7,7.2,Significantly above average,4.2,2.9,5.4,Significantly above average,4.6,2.4,6.8,Significantly above average,3.7,2.6,4.9,Significantly above average,3.8,1.8,5.9,139951;140509;140860
TR00278,2408,Multi-academy trust,Bradford Diocesan Academies Trust,Lancashire and West Yorkshire,3,112,14.1,51.8,2.7,61.6,3,0,3,0,0,0,1,2,0,Significantly below average,-1.5,-2.6,-0.3,Significantly below average,-2.5,-4.2,-0.7,Close to average,0.6,-0.5,1.7,Close to average,-0.3,-2,1.4,Close to average,-0.2,-1.2,0.9,Close to average,-1.5,-3.1,0.1,138916;139201;141098
TR00301,2442,Multi-academy trust,Brighter Futures Academy Trust,Lancashire and West Yorkshire,3,71,15.1,40.8,2.8,4.2,3,2,1,0,0,0,0,0,3,Close to average,-0.4,-1.9,1.1,Close to average,-2.8,-5.3,-0.3,Significantly below average,-1.8,-3.3,-0.4,Significantly below average,-2.7,-5.1,-0.3,Close to average,-0.9,-2.3,0.4,Significantly below average,-3.6,-5.8,-1.3,137699;138398;138657
TR00327,2471,Multi-academy trust,The Brooke Weston Trust,North West London and South Central,4,186,15.4,32.8,4.3,19.9,4,3,1,0,0,0,0,2,2,Significantly below average,-1.1,-2,-0.2,Close to average,-1,-2.7,0.7,Close to average,-0.2,-1.1,0.6,Close to average,0.1,-1.5,1.8,Close to average,-0.4,-1.2,0.5,Close to average,-1.1,-2.6,0.5,138672;138761;139466;140120
TR00353,2497,Multi-academy trust,Burnt Mill Academy Trust,East of England and North East London,3,132,15.1,37.9,1.5,22,3,0,3,0,0,0,3,0,0,Significantly above average,4.7,3.6,5.8,Significantly above average,6.1,4.3,8,Significantly above average,3.4,2.3,4.4,Significantly above average,3.2,1.4,5.1,Significantly above average,4,3,5,Significantly above average,3.8,2.1,5.5,139399;140019;140024
TR00367,2516,Multi-academy trust,Cabot Learning Federation,South West,4,215,15.4,42.8,4.2,38.6,4,2,2,0,0,0,0,0,4,Significantly below average,-1.6,-2.5,-0.8,Significantly below average,-2.8,-4.2,-1.4,Significantly below average,-1.2,-2,-0.3,Close to average,-1.3,-2.7,0.1,Significantly below average,-0.9,-1.7,-0.1,Close to average,-1.2,-2.4,0.1,138655;138658;138789;138791
TR00392,2548,Multi-academy trust,Carmel Education Trust,North,4,110,15.9,39.1,0.9,7.3,4,4,0,0,0,0,1,3,0,Significantly above average,1.3,0.1,2.4,Close to average,1.2,-0.8,3.2,Significantly above average,1.4,0.3,2.6,Significantly above average,2,0,3.9,Close to average,0.9,-0.2,1.9,Close to average,0.9,-0.9,2.7,139492;139531;139533;140442
TR01854,4443,Multi-academy trust,CELTIC CROSS EDUCATION,South West,5,89,16,36,0,4.5,5,5,0,0,0,0,0,5,0,Close to average,-0.3,-1.6,1,Close to average,-1.4,-3.8,1,Close to average,-0.9,-2.1,0.4,Close to average,-1.7,-4,0.7,Close to average,-0.4,-1.6,0.8,Close to average,-0.7,-2.9,1.5,139089;139090;139091;139092;139093;140466;140467;140468;140469
TR00427,2594,Multi-academy trust,Central Learning Partnership Trust,West Midlands,3,120,13.1,61.7,0,45.8,3,0,3,0,0,0,0,3,0,Significantly above average,3.1,1.9,4.3,Significantly above average,2.4,0.8,4,Significantly above average,5.1,3.9,6.2,Significantly above average,4.6,3.1,6.2,Significantly above average,3.1,2,4.2,Significantly above average,2.7,1.2,4.1,139199;139223;139225
TR00429,2597,Multi-academy trust,CFBT Schools Trust,East Midlands and Humber,7,277,15.9,39.4,1.4,32.9,7,2,4,1,0,0,1,2,4,Significantly below average,-1,-1.8,-0.3,Close to average,-1.4,-2.6,-0.1,Significantly below average,-1.8,-2.5,-1,Significantly below average,-1.5,-2.8,-0.3,Significantly below average,-1.2,-1.8,-0.5,Significantly below average,-1.7,-2.8,-0.5,137281;138063;138291;138372;138992;139709;140833
TR02599,2681,Multi-academy trust,Christ the King Catholic Collegiate,West Midlands,3,120,16.2,15,0,30.8,3,3,0,0,0,0,3,0,0,Close to average,0.5,-0.6,1.6,Close to average,1,-2.2,4.1,Close to average,0.7,-0.4,1.8,Close to average,0.3,-2.8,3.4,Significantly above average,2.1,1.1,3.1,Close to average,1.6,-1.3,4.5,140803;140804;140805
TR00498,2685,Multi-academy trust,Chulmleigh Academy Trust,South West,3,28,16.8,21.4,3.6,0,3,3,0,0,0,0,0,0,3,Close to average,-0.9,-3.2,1.4,Close to average,-0.4,-6.2,5.5,Significantly below average,-4.3,-6.5,-2,Significantly below average,-6.5,-11.7,-1.3,Significantly below average,-2.4,-4.5,-0.3,Close to average,-3.6,-8.9,1.7,137025;137026;137780
TR00552,2755,Multi-academy trust,Community Academies Trust,West Midlands,3,112,16.8,25,0,2.7,3,1,2,0,0,0,1,2,0,Significantly below average,-2.1,-3.2,-0.9,Close to average,-2,-4.4,0.5,Close to average,-0.7,-1.8,0.4,Close to average,-0.5,-2.9,1.9,Significantly below average,-2.8,-3.8,-1.7,Significantly below average,-4.8,-7,-2.5,138912;138934;140418
TR00580,2788,Multi-academy trust,Corpus Christi Catholic Academy Trust,East Midlands and Humber,5,179,16,25.1,0,27.4,5,5,0,0,0,0,0,0,5,Close to average,0,-0.9,1,Close to average,-2.5,-4.4,-0.5,Close to average,-0.2,-1.1,0.7,Significantly below average,-2.7,-4.7,-0.8,Close to average,0.5,-0.3,1.4,Close to average,-0.9,-2.7,0.9,138080;138081;138090;138115;138185
TR00633,2854,Multi-academy trust,The David Ross Education Trust,National Lead,18,712,15.2,39.6,1.4,17,18,5,13,0,0,0,9,7,2,Significantly below average,-0.4,-0.9,0,Significantly below average,-2,-2.8,-1.2,Close to average,0.4,-0.1,0.9,Significantly below average,-1.2,-1.9,-0.4,Close to average,-0.3,-0.7,0.1,Significantly below average,-1.8,-2.5,-1.1,138160;138423;138749;138840;138857;138917;139061;139570;139805;139968;140018;140060;140184;140190;140191;140414;140829;141279
TR01879,4474,Multi-academy trust,Delta Academies Trust,National Lead,26,914,15.1,47.7,0.9,15,26,11,15,0,0,0,6,7,13,Significantly below average,-1.5,-1.9,-1.1,Significantly below average,-2.2,-2.8,-1.5,Significantly above average,0.5,0.1,0.9,Close to average,-0.1,-0.7,0.6,Close to average,0,-0.4,0.3,Close to average,-0.4,-1,0.1,136326;137141;137455;138007;138008;138083;138279;138332;138401;138520;138535;138673;138866;138890;138975;138997;139046;139420;139921;139922;140068;140086;140169;140333;140625;140716
SP00151,2889,School sponsor,Dilkes Academy Trust (Catalyst Academies Trust),East of England and North East London,3,149,15.4,39.6,4.7,20.1,3,1,2,0,0,0,0,3,0,Significantly above average,2.3,1.3,3.3,Significantly above average,4.3,2.6,6.1,Significantly above average,4.3,3.3,5.2,Significantly above average,5,3.3,6.8,Significantly above average,2.7,1.8,3.6,Significantly above average,3,1.5,4.6,139104;139382;139576
TR00145,2250,Multi-academy trust,The Bath and Wells Diocesan Academies Trust,South West,9,291,15.7,28.9,0.7,5.2,9,4,5,0,0,0,3,6,0,Close to average,0.6,-0.1,1.4,Close to average,0.6,-0.9,2,Significantly above average,1.4,0.7,2.1,Significantly above average,1.2,-0.2,2.6,Close to average,-0.5,-1.1,0.2,Close to average,-1.6,-2.9,-0.3,139205;139278;139324;139338;139934;140062;140456;141159;141162
SP00049,2891,School sponsor,Birmingham Diocesian Academies Trust,West Midlands,7,197,15.7,66,1.5,44.2,7,0,7,0,0,0,0,7,0,Significantly below average,-2.7,-3.6,-1.8,Significantly below average,-3.1,-4.3,-1.9,Significantly below average,-1.3,-2.1,-0.4,Significantly below average,-1.4,-2.6,-0.3,Significantly below average,-1.1,-1.9,-0.3,Significantly below average,-1.9,-3,-0.8,138432;138433;138883;139126;139127;139267;139269
TR00659,2894,Multi-academy trust,Diocese of Bristol Academies Trust,South West,4,151,14.8,55,2,43,4,2,2,0,0,0,3,0,1,Close to average,-0.6,-1.6,0.4,Close to average,-1.6,-3.1,-0.2,Close to average,0.3,-0.7,1.3,Close to average,0.1,-1.3,1.6,Significantly below average,-1.4,-2.3,-0.5,Significantly below average,-2.2,-3.6,-0.9,138794;140454;141110;141274
SP00155,2896,School sponsor,Diocese of Canterbury (Aquila),South East and South London,3,156,16.1,34,0.6,10.3,3,0,3,0,0,0,2,1,0,Significantly below average,-2.2,-3.2,-1.2,Close to average,-1.1,-2.9,0.7,Close to average,0.2,-0.7,1.2,Close to average,0.6,-1.2,2.4,Significantly below average,-2,-2.9,-1.1,Significantly below average,-2.4,-4,-0.7,138592;139255;139822
TR00660,2901,Multi-academy trust,The Diocese of Coventry Multi-academy Trust,West Midlands,8,331,16.1,32.6,2.1,16.9,8,2,6,0,0,0,5,3,0,Close to average,-0.6,-1.2,0.1,Close to average,-1.6,-2.9,-0.3,Close to average,-0.2,-0.9,0.4,Close to average,0.3,-1,1.5,Significantly below average,-1,-1.6,-0.3,Close to average,-1.1,-2.3,0,139383;139384;139680;140419;140694;140878;141000;141298
TR00661,2905,Multi-academy trust,The Diocese of Ely Multi-academy Trust,East of England and North East London,6,126,15.9,26.2,3.2,11.1,6,4,2,0,0,0,5,1,0,Close to average,0.2,-0.9,1.3,Close to average,-2.2,-4.5,0.1,Close to average,0.7,-0.3,1.8,Close to average,-1.8,-4.1,0.5,Close to average,-0.5,-1.5,0.4,Close to average,-2.2,-4.3,-0.1,139844;140031;140681;140712;140870;140914
TR02030,4656,Multi-academy trust,St Christopher's C of E (Primary) Multi Academy Trust,South West,3,80,15.9,31.3,5,7.5,3,2,1,0,0,0,2,1,0,Close to average,0.5,-0.9,1.9,Close to average,1.5,-1.1,4.2,Close to average,0.9,-0.5,2.2,Close to average,0.6,-2,3.1,Close to average,-1.2,-2.4,0.1,Close to average,-1.7,-4.1,0.8,139954;140629;140644
TR00662,2907,Multi-academy trust,The Diocese of Gloucester Academies Trust,South West,3,104,15.6,17.3,1,3.8,3,1,2,0,0,0,2,1,0,Close to average,1,-0.2,2.2,Significantly above average,3.3,0.1,6.6,Close to average,-0.4,-1.6,0.8,Close to average,0.2,-2.9,3.3,Significantly below average,-1.7,-2.8,-0.6,Close to average,0,-2.9,3,139337;139643;140797
TR00948,3294,Multi-academy trust,The Hallam Schools' Partnership Academy Trust,East Midlands and Humber,3,100,15,33,2,11,3,0,3,0,0,0,3,0,0,Significantly below average,-1.9,-3.2,-0.7,Close to average,-2,-4.3,0.3,Significantly above average,1.3,0.1,2.5,Close to average,0.9,-1.3,3.2,Significantly below average,-2,-3.1,-0.9,Close to average,-2.1,-4.2,0,140025;140340;140826
TR01301,3722,Multi-academy trust,Diocese Of Leicester Academies Trust,East Midlands and Humber,5,119,15.4,40.3,0.8,4.2,5,3,2,0,0,0,3,2,0,Significantly below average,-2.4,-3.6,-1.3,Significantly below average,-3.7,-5.6,-1.8,Significantly below average,-2,-3.1,-0.9,Significantly below average,-3.1,-5,-1.3,Significantly below average,-1.1,-2.1,-0.1,Significantly below average,-2.7,-4.4,-0.9,139200;139349;140317;140850;140909
TR02027,4652,Multi-academy trust,St Chad's Academies Trust,West Midlands,3,90,15.1,35.6,1.1,18.9,3,0,3,0,0,0,2,1,0,Close to average,-0.4,-1.7,0.9,Close to average,-1.7,-4.1,0.8,Significantly above average,1.5,0.3,2.8,Close to average,1.1,-1.3,3.5,Significantly above average,1.7,0.5,2.9,Close to average,0.8,-1.5,3,139435;140299;140858
TR01318,3746,Multi-academy trust,Lincoln Anglican Academy Trust,East Midlands and Humber,4,70,16.2,54.3,1.4,2.9,4,0,4,0,0,0,4,0,0,Significantly below average,-2.7,-4.1,-1.2,Significantly below average,-2.9,-5,-0.8,Significantly below average,-1.4,-2.8,0,Close to average,-1.9,-4,0.1,Significantly below average,-2.3,-3.7,-1,Significantly below average,-2.5,-4.4,-0.5,140185;140343;140988;140991
SP00172,2914,School sponsor,Diocese of London,North West London and South Central,5,165,15.2,45.5,4.2,48.5,5,3,2,0,0,0,0,4,1,Close to average,0,-1,1,Close to average,-0.6,-2.2,0.9,Significantly above average,2,1.1,3,Significantly above average,1.4,0,2.9,Close to average,0.2,-0.7,1.1,Close to average,0.2,-1.2,1.7,134314;139169;139175;139177;139240
TR00663,2918,Multi-academy trust,The Diocese of Norwich Education and Academies Trust,East of England and North East London,5,145,15.7,34.5,1.4,14.5,5,2,3,0,0,0,5,0,0,Significantly below average,-1.7,-2.8,-0.7,Close to average,-2,-3.9,-0.2,Close to average,-0.4,-1.4,0.6,Close to average,1.5,-0.3,3.4,Significantly below average,-2.4,-3.3,-1.5,Close to average,-2,-3.7,-0.2,140189;140545;141050;141172;141314
SP00179,2919,School sponsor,Diocese of Oxford,North West London and South Central,4,155,16.1,28.4,1.3,25.8,4,2,2,0,0,0,4,0,0,Significantly below average,-1.8,-2.8,-0.9,Significantly below average,-3.4,-5.4,-1.4,Significantly below average,-1.8,-2.8,-0.9,Significantly below average,-2.2,-4.2,-0.3,Significantly below average,-2.5,-3.3,-1.6,Significantly below average,-3.5,-5.4,-1.7,140344;140473;140474;140556
TR02653,4192,Multi-academy trust,Peterborough Diocese Education Trust,North West London and South Central,4,83,16.6,24.1,0,13.3,4,3,1,0,0,0,4,0,0,Close to average,0.1,-1.3,1.4,Close to average,1.5,-1.4,4.4,Close to average,0.1,-1.2,1.4,Close to average,-0.9,-3.7,2,Close to average,0.3,-0.9,1.6,Close to average,0.3,-2.4,2.9,140820;141044;141048;141068
TR00664,2922,Multi-academy trust,Diocese of Salisbury Multi Academy Trust,South West,5,156,15.4,37.2,1.3,3.8,5,1,4,0,0,0,5,0,0,Close to average,0,-1,0.9,Close to average,-0.3,-2,1.4,Close to average,0,-1,0.9,Close to average,-0.2,-1.9,1.5,Significantly below average,-1.2,-2.1,-0.3,Close to average,-0.9,-2.5,0.7,140351;140352;140560;140561;141142
TR00667,2932,Multi-academy trust,Discovery Schools Academies Trust Ltd,East Midlands and Humber,5,265,16.2,35.1,2.6,4.5,5,3,2,0,0,0,2,1,2,Significantly below average,-1.9,-2.7,-1.1,Significantly below average,-4.5,-5.9,-3.1,Close to average,-0.5,-1.2,0.2,Significantly below average,-2.5,-3.8,-1.1,Significantly below average,-1.3,-2,-0.6,Significantly below average,-3.6,-4.8,-2.3,138348;138358;140101;140851;141137
TR00699,2974,Multi-academy trust,E-ACT,National Lead,12,465,15,61.7,0.6,35.1,12,1,11,0,0,0,0,4,8,Significantly below average,-0.8,-1.4,-0.2,Close to average,-1.3,-2.1,-0.5,Significantly above average,1.7,1.1,2.2,Significantly above average,1.3,0.5,2.1,Close to average,-0.2,-0.7,0.4,Close to average,-0.5,-1.2,0.2,137068;137689;137700;138073;138396;138452;138583;138709;138998;139014;139679;139932
TR00725,3012,Multi-academy trust,Education Central Multi Academy Trust,West Midlands,9,379,15.4,58.8,1.6,18.2,9,6,3,0,0,0,3,6,0,Significantly below average,-0.6,-1.3,0,Close to average,-1,-1.9,-0.1,Close to average,-0.5,-1.1,0.1,Close to average,-1,-1.9,-0.1,Close to average,-0.3,-0.9,0.2,Close to average,-0.6,-1.4,0.2,139002;139011;139484;139610;139637;139860;140889;140890;141278
TR01237,3643,Multi-academy trust,Education South West,South West,4,74,16.1,33.8,2.7,0,4,3,1,0,0,0,4,0,0,Close to average,0.5,-1,1.9,Close to average,-0.3,-3,2.3,Close to average,-0.1,-1.5,1.3,Close to average,-2.2,-4.7,0.4,Close to average,0.5,-0.8,1.8,Close to average,-1.3,-3.7,1.1,136200;141284;141286;141287
TR00741,3033,Multi-academy trust,EMLC Academy Trust,North West London and South Central,4,210,14.9,36.7,1,46.7,4,0,4,0,0,0,3,0,1,Close to average,-0.1,-1,0.8,Close to average,-0.2,-1.7,1.4,Significantly above average,1.7,0.9,2.6,Significantly above average,1.9,0.4,3.4,Close to average,0.8,0,1.6,Close to average,0.5,-1,1.9,138605;140362;140370;140628
TR02377,5196,Multi-academy trust,Enhance Academy Trust,Lancashire and West Yorkshire,4,160,13.8,54.4,1.3,22.5,4,0,4,0,0,0,0,4,0,Significantly below average,-2.2,-3.2,-1.2,Significantly below average,-3,-4.4,-1.6,Significantly above average,1.7,0.7,2.6,Significantly above average,1.3,-0.1,2.8,Significantly below average,-1,-1.9,-0.1,Significantly below average,-1.9,-3.2,-0.6,138979;139279;139280;139573
TR00745,3042,Multi-academy trust,The Enquire Learning Trust,North,9,356,15.1,46.6,0.8,3.7,9,6,3,0,0,0,7,2,0,Significantly below average,-0.7,-1.4,-0.1,Close to average,-1,-2,0,Significantly above average,2.5,1.9,3.1,Significantly above average,2.4,1.4,3.4,Close to average,-0.2,-0.8,0.4,Close to average,-0.8,-1.8,0.1,137996;139392;139981;140581;140801;140847;140849;141289;141301
TR00773,3083,Multi-academy trust,Faringdon Academy of Schools,North West London and South Central,6,161,16.6,23,1.2,6.2,6,6,0,0,0,0,5,0,1,Close to average,-0.2,-1.2,0.8,Close to average,-0.7,-2.8,1.4,Close to average,0.7,-0.2,1.7,Close to average,0,-2.1,2.1,Close to average,0.6,-0.3,1.5,Close to average,0.9,-1,2.9,138009;140278;140283;140293;140301;140307
TR00793,3104,Multi-academy trust,The First Federation Trust,South West,6,108,15.7,10.2,2.8,0.9,6,6,0,0,0,0,0,0,6,Significantly above average,3.5,2.3,4.7,Close to average,2.9,-1.2,7,Significantly above average,2.4,1.3,3.5,Close to average,-0.5,-4.3,3.4,Significantly above average,2.2,1.1,3.2,Close to average,1.1,-2.6,4.9,137642;137662;137664;137665;137666;138631
TR00801,3112,Multi-academy trust,Focus Academy Trust (UK) Ltd,Lancashire and West Yorkshire,8,350,14.9,39.7,1.1,49.1,8,6,2,0,0,0,2,6,0,Significantly below average,-0.8,-1.5,-0.2,Close to average,-0.9,-2,0.2,Close to average,0,-0.6,0.6,Close to average,-0.6,-1.7,0.5,Significantly above average,1,0.4,1.6,Significantly above average,0.6,-0.4,1.7,139356;139357;139358;139379;139704;140100;140234;140738
TR01290,3705,Multi-academy trust,LDBS Frays Academy Trust,North West London and South Central,3,154,15.4,43.5,3.2,39,3,2,1,0,0,0,0,3,0,Significantly above average,1.2,0.2,2.3,Significantly above average,2.1,0.5,3.7,Significantly above average,3.2,2.2,4.2,Significantly above average,2.9,1.4,4.5,Significantly above average,1.6,0.6,2.5,Close to average,0.5,-1,1.9,139275;139302;139306
TR00842,3163,Multi-academy trust,Gateway Learning Community,East of England and North East London,3,231,15.2,54.5,3.9,19.9,3,1,1,1,0,0,0,1,2,Significantly below average,-3.3,-4.1,-2.5,Significantly below average,-4.1,-5.2,-2.9,Close to average,0,-0.8,0.8,Close to average,-1.2,-2.3,0,Significantly below average,-1,-1.7,-0.2,Significantly below average,-1.9,-3,-0.8,138048;138334;138962
TR00860,3190,Multi-academy trust,GLF Schools,South East and South London,6,296,16.7,27.4,1.7,9.5,6,1,5,0,0,0,3,2,1,Significantly below average,-2.5,-3.2,-1.8,Significantly below average,-2.7,-4.2,-1.2,Significantly below average,-0.9,-1.6,-0.2,Close to average,0.2,-1.3,1.6,Significantly below average,-2.5,-3.1,-1.8,Significantly below average,-3,-4.3,-1.7,138764;139915;139916;140349;140350;140880
TR00227,3188,Multi-academy trust,Gloucestershire Learning Alliance,South West,3,160,14.7,33.8,3.1,8.8,3,3,0,0,0,0,0,0,3,Significantly above average,2.3,1.3,3.2,Significantly above average,2.9,1.2,4.7,Close to average,0.7,-0.2,1.7,Close to average,0.3,-1.4,2.1,Significantly above average,2.1,1.2,2.9,Significantly above average,2.4,0.8,4,137194;137255;137271
